(Do Not Modify) Account|(Do Not Modify) Row Checksum|(Do Not Modify) Modified On|Account Name|Address 1: City|Core Banking Sytem|Description|Primary Contact|Sales Campaign|Source of Data|Website
2c7ff898-5d2d-e111-87e2-1cc1de0875ed|0hD3fd//rItJ4KRCxapgwVjGn27XI61qjBmcHlJkrSUQYL797GORBZp15tljXo7i1Xb0RTdlbrnPOdF1Aoy5hA==|02/05/2014 09:11|Alliance Trust Savings Limited|London||||London/UK|FSA|
9ee9f071-66fb-e211-8b13-984be17c9a93|QgObjd1wGHjcteXsG6dxUrDMv4+4jgWYDaUOUZwY0f50H2UecdYAJxlzVncH/LH1T1VmjzC6fd5I//CNLnBIMg==|07/08/2013 10:06|Alpha Bank (London)|London||||||https://www.alpha.gr/page/default.asp?la=2&id=2544
82bc0eeb-b024-e111-b4a2-18a905730937|kKFFf+9FHIAKaAbMVfhg4nzlZ51u8/w7rHxQMUq85smu5JYp2BxUAL7xlyEqiykDI+tPcW5s1KVgZ/fnvvMjfg==|02/05/2014 09:11|Anglo Irish Bank - closed|London|T24|"Anglo Irish Bank Private Banking, Connaught House, 1 Burlington Road Dublin 4. and UK. London. 10 Old Jewry, London EC2R 8DN Tel: + 44 20 7710 7000 | www.angloirishbank.co.uk, www.angloirishbank.ie | 11 Dec 2006 � Anglo Irish Bank live with Temenos T24 in UK"||eCommerce ECN|JL ECN Data|
387ff898-5d2d-e111-87e2-1cc1de0875ed|Vd08HTnGfLAzWvBoKBjuumBfAD6ETgTMrk8sZukhyK0UD+R7Ui0Llyj+wnAw7WIZiPYUbWWbcloQk5L14SWvUA==|02/05/2014 09:11|Ansbacher|London||They have now ceased operations.||London/UK|Original EB Data|
ba9a30ce-4d4e-e111-9821-1cc1de6d3b11|rsifSKWvO7dfv6vzkBgpLphkLSwcBnJsj+bTctOaFMijyIOzrIvqcq6hVSYDEfZ1Ho3sxxei1RQRcQ5gkx6huw==|07/01/2013 11:34|Arab National Bank|London||"Islamic

spoke to matthew couch - he is the only dealer there, very volume and he has no say in what they use at all, all come from head office in saudi"||London/UK|FSA|
3b26ac48-89e3-e011-968c-18a905732a1b|h+hgkbh7/k8g35wiouC2VNcjCrW+r+3WY0nedaO9URUYKlTQgsGgmTrx3fA2a21o0t/6QpksI/pCMVqp5g4e5A==|02/05/2014 09:11|Arbuthnot Latham & Co.|London||"I spoke to someone here in dealing and they use BM Plus a mysis product for dealing,. they are in the process of a whole new update and are shopping but the guy in dealing told me we may be a little late in that they are quite far down the process, I need to speak to Gary Bone the IT guy and will send him an email as well. Need to see where they are urgently! I have emailed gary

spoke to Gary, they have been using BM Plus for years and years only trade FX and have 3 dealers - he saysmaybe they could look but he has a lot going on and cb in 1 month and see if we can get a meet. MP plus is f and back office I think he could be persuaded.

I spoke to Gary who tells me that I should go through Ashley now and that they are investing mostly in infrastructure but they are going to stick with BM plus that they have had for 15 years. Ashley can identify if there is a gap for deal capture and it would be taken from a separate treasury budget to buy. 

Trying to reach Ashley and get a meeting. Got meeting for 11th July 2.30 

Got through to ashley and I have"|||DW Jan Import|
93b0b5ef-3a5b-e211-8c7c-984be17c38f7|oNj51mVg99eyrNzZpmpo9VFvEQP0fYlLcY3qt5ehxrNNs8+bCPrepUgE94IALW04+XDQc52X4RK+Ei9K99P53g==|21/01/2016 15:13|Association of Foreign Bankers|London||"VH was put in touch with Nigel Brigden via OE and we have met for lunch. 
Nigel was keen to hear about Siena FO and our take on the market in London and what business pains we can offer banks the solutions for. Nigel has 140 banks in London as members of the AFB.  
We spoke about Eurobase and our developments and also our new hire and they were interested to meet  David and see if he might be suitable to speak at an AFB event or add any value you may wish too. I understand that the conferences and events  will cover a variety of topics and some not in our space but the audience is still very relevant and Nigel seems keen to invite his contacts to suggest topics so maybe we could influence a session? 
I think there would be mutual benefit to nurture this relationship. They have a good understanding of what we do and I hope they can point us in the right direction in London as to possible business leads. 
This week I have made the introduction for DW to meet with Nigel he made it clear that he is very interested in DW speaking at the next conference in May and provided us with sponsorship packages. The plan would be to suggest that DW speaks free of charge and VH is going to follow up with Nigel on who we can mutually benefit from this relationship. We need to ensure we get the best introduction to AFB members who are treasurers and dealing managers and I am sure we can generate PR out of the relationship. I need to respond to Nigel about his offer and suggest the next steps and ask him what he can do for us with his members."||||http://www.foreignbanks.org.uk/
447ff898-5d2d-e111-87e2-1cc1de0875ed|J+GtADf1HOHS2sOGS2YTxS7KDqpxIqDKF1r4p4OzxUrMoN/9X8iCgnkeSdlD4YiW2qUBvQZm1Fcj2nAcrVw7mA==|02/05/2014 09:11|Banc of America Securities Limited|London||||London/UK|FSA|
467ff898-5d2d-e111-87e2-1cc1de0875ed|yvMEcB1+x1R4QWGjPPaIL4tDM6tDHZke8LFuWeHZhuPOhVd8xjemNcAlQZt5RKQMtSqqx3/1p6MQXnWrICFS3g==|23/03/2015 14:29|Banca IMI|London||They are a subsidiary of Banca Intesa San Paulo.||London/UK|FSA|
487ff898-5d2d-e111-87e2-1cc1de0875ed|kiENAKxibA4KpXzneVSYuaz2687gaZ8X0CnDwBlHJkyfT0bwjnTbBc/FlQz26z9NHqUearMRDBo+KnB9EuYmgQ==|02/05/2014 09:11|Banca March|London||||London/UK|FSA|
3cbc0eeb-b024-e111-b4a2-18a905730937|DNXB45rWxKRA0UrE2K4FrBH7MRU2qzUqWreeLL9oW07KtwyW6ShBsAjUenQ/x7AApkw+v/PuyJSmyq6CabWWeQ==|02/05/2014 09:18|Banca Monte Dei Paschi Di Siena|London|T24|"Banca Monte dei Paschi di Siena S.p.A. | Consorzio Operativo Gruppo MPS Corporate Banking | CONSORZIO OPERATIVO GRUPPO MPS is a company within the Monte dei Paschi di Siena group | Banca Monte dei Paschi di Siena (tag: Consorzio Operativo Gruppo Mps) | MPS Consorzio Operativo | MPS Gestione Crediti Banca | 2.2011 to move off Financial Objects IBIS to T24 faciltated by T24 IBIS Model Bank, a preconfigured version of T24 specifically designed for banks migrating from the IBIS banking system

emailed luciano as difficult to reach"||T24/FXCB||
5e3dc396-b0d7-e011-b80c-18a905730937|pz0s7zlpBK5jzU/txwGXpWLKb3l8uKbE+WRBNkVD287Q/1PMVfirZbmJ8mjUSv0bVCLa+Lj42kyNN6ic5iHZBA==|02/05/2014 09:11|Banca Monte Paschi Belgio S.A.|London|T24|"Banca Monte dei Paschi di Siena S.p.A. | Consorzio Operativo Gruppo MPS Corporate Banking | CONSORZIO OPERATIVO GRUPPO MPS is a company within the Monte dei Paschi di Siena group | Banca Monte dei Paschi di Siena (tag: Consorzio Operativo Gruppo Mps) | MPS Consorzio Operativo | MPS Gestione Crediti Banca | 2.2011 to move off Financial Objects IBIS to T24 faciltated by T24 IBIS Model Bank, a preconfigured version of T24 specifically designed for banks migrating from the IBIS banking system

emailed luciano as difficult to reach"||T24/FXCB|Original EB Data|
9c3dc396-b0d7-e011-b80c-18a905730937|07EJI4OL4hQkIwr/CoM0vea875iP2+/Is8hPRm26cLQtrMbdDaYYT09NLXcUtUJ+Xw1SivpNo9uYrMR9uEBEWw==|08/02/2016 13:19|Banco Do Brasil|London|||||Original EB Data|
527ff898-5d2d-e111-87e2-1cc1de0875ed|RcGkXeRy1gQ/ibsIqcxcu7BIg9pfl7NBmlWhgITggY42DEEZZBa16A2fT9YJOyhhNH7ZEiM3GJu+tDFg2ZSz5A==|02/05/2014 09:12|Banco Espanol de Credito SA|London||||London/UK|FSA|
547ff898-5d2d-e111-87e2-1cc1de0875ed|Or2uw+OI26vnwWfZnr+jLByy9oQNc0PU75of+cXJXPkeJwiVNqNBtzIfuaQo+Yw8tJEoo8ZYYBqJzmipa60bZg==|02/05/2014 09:12|Banco Espirito Santo de Investimento SA|London||||London/UK|FSA|
587ff898-5d2d-e111-87e2-1cc1de0875ed|1AdE09GWIpG7KYdQCbLyg/9YErlTK6C76bTZjJx2vnfv2t2rvaqy+Qia6fUvjv9ovj/J/ZppyGC6tiBJQj8Bew==|02/05/2014 09:12|Banco Itau BBA International, S.A.|London||"call back at 6pm today

VH emailed Alexander"||London/UK|FSA|
5a7ff898-5d2d-e111-87e2-1cc1de0875ed|vUkukuprnZzfwtkQpmpewViFOdu5Q2X3JDP3dVirdlcEqJ8jaEb6VdC9mZ+30600VoxNHz3piejJUvg99Eg4Hw==|02/05/2014 09:12|Banco Popolare S.c|London||VH emailed Dairo and Nicolas||London/UK|FSA|
647ff898-5d2d-e111-87e2-1cc1de0875ed|iir3SLg+muldlJzzLvbKfN/2VltVPp6HCB4zzNayJWOwmuG78R195xazClymwHx6cIDYrbLmeg9adThHd8EnQQ==|02/05/2014 09:12|Bank Frick & Co AG|London||"http://www.bankfrick.li/UK_Branch_en

keeo in touch but no new software until 2013 - I have emailed them all the info.

VH emailed Jack December 2012"||London/UK|FSA|
84bc0eeb-b024-e111-b4a2-18a905730937|I4ZQB0bNNod79mAnQxhCfVN9T0Pnu+INGJ8YU7HzW4N0eyiNH2g6b9ui7E00jK163kFWzZL6hV9ldGJ9Sxw0cQ==|02/05/2014 09:12|Bank Hapoalim|London|T24|"Bank Hapoalim International London, UK | parent group is Bank Hapoalim Israel - BHI private banking (Bank-hapoalim) BHI (an acronym of Bank Hapoalim International) | 2.2011 to move off Financial Objects IBIS to T24 faciltated by T24 IBIS Model Bank, a preconfigured version of T24 specifically designed for banks migrating from the IBIS banking system"||T24/FXCB||
687ff898-5d2d-e111-87e2-1cc1de0875ed|6Ygo/2AdytZA8+wkyd5qIcIONkxdnWJUvrrwqx5DvpG0y0+Lto0tjgTqQS2UYRxydO3II1AnL7/cYGcqQG3iYA==|02/05/2014 09:12|Bank Insinger de Beaufort NV|London||||London/UK|FSA|
6a7ff898-5d2d-e111-87e2-1cc1de0875ed|qsPUCdZQJmUglEYglgjstIubTFsnE3L3QZ+5/Yy7KTzV6/OYU7H7qvqRvS9DOZP7G3R9xV7EolpS0K5LaW/eBQ==|02/05/2014 09:12|Bank J Safra (Gibraltar) Limited|London||||London/UK|FSA|
6e7ff898-5d2d-e111-87e2-1cc1de0875ed|6xmBuq+LuMMD4xnJGxU2N1vZLeK9JYZN+GbqNRrFs093Ol+Dv7ZyTPCta6VwBok3y/OHiC/Un18nklKCT4ByGQ==|02/05/2014 09:18|Bank Mandiri (Europe) Limited|London||VH spoke to dwi - it is only him as the trader and he only does 2-3 transactions a day through bloomberg or HSBC - he cannot see the justification for a dedicated front office piece and would be happy to talk to me in the future if they expand||London/UK|FSA|http://www.bkmandiri.co.uk/
727ff898-5d2d-e111-87e2-1cc1de0875ed|LBaPmLuSSZnCKLJSaNRJwWSSf7CzE2GH+VNIUAWcfO2QqNVWD7kBkbtdA5wlTZvcfMuo/sNHzk4neVtQZNGbvQ==|14/01/2016 09:43|Bank of Baroda|London||"Vimal said they have kondor plus from reuters as a front office system and have had it a long time, need nothing else and all decisions are made out of the indian head office location.

Graham at BdB knows the treasury manager FYI"||London/UK|FSA|
767ff898-5d2d-e111-87e2-1cc1de0875ed|8mc9ugavAlEtkHwiA+dAqXuHNyYi6wzhFVRH/gh7EB/QtO+QoCDGpBZabfBsQzsd+gkcn79XBb7WemuTNQEp3Q==|02/05/2014 09:18|Bank of Ceylon (UK) Ltd|London||VH spoke to Rahaan - he is the new TM and was busy but would like me to call back, says he has no real pain the in dealing room and it is automated but wanted a call back?!||London/UK|FSA|
7a7ff898-5d2d-e111-87e2-1cc1de0875ed|PlbiMI/UCX+6rCnBvlHijEagLBnEY2YF6YBm46zbe7GKWxDP/K+58fWfP1rm2Kc+gXMsFu6vszmyIDPitzQTWQ==|02/05/2014 09:18|Bank of Communications (UK) Limited|London||||London/UK|FSA|
d4c99111-7859-e111-b7be-1cc1de6d3b11|H74oEBSNJJElkqUjZtA2WArpg6fL33IpufJ1ZdycDTyq+pP7OLiGZKwa1gz/FNGEKCWaW7NEMfymD3HbDFozhQ==|15/11/2012 14:56|Bank of Cyprus UK|London||stuart gayle does not work there anymore and the guy would not give me a name said call back|||Added|
86bc0eeb-b024-e111-b4a2-18a905730937|Pb0WygFS2wZ1zb7/ZZLkqIejDPQqySuOMjpUPYc53Zwo9PnsVLSTRh4CrQtjdAmfLx0biTdrnFCVi8dQHeEClA==|02/05/2014 09:18|Bank of East Asia|London|T24|"The Bank Of East Asia Ltd | 1.2006 selected TEMENOS T24 to replace its retail banking system, Equation, in its UK
branches in London and Birmingham | 10.2006 The Bank of East Asia (BEA), the largest independent local bank in Hong Kong, has gone live with TEMENOS T24 in its UK branches at London and Birmingham"||T24/FXCB|Original EB Data|
88bc0eeb-b024-e111-b4a2-18a905730937|7EyCLg96LcgiCGr9yQ2AX6easaKSDTvoamXSau1DdzpHJ5v7DK6OyPgRvoAzgi/f5Cbw7jAXfaZTl/7WuMxJZA==|02/05/2014 09:18|Bank of England|London|T24|"Bank of England  BoE | The Bank sets interest rates to keep inflation low, issues banknotes and works to maintain a stable financial system. The Bank of England (formally the Governor and Company of the Bank of England) is, despite its name, the central bank of the whole of the United Kingdom | Dec 2003/Jan 2004 Bank of England apologises for Globus hitch - pre. 2003 lic. Globus later? Upgraded to T24 < ref. Temenos developers onsite on T24 7.2011"||T24/FXCB||
807ff898-5d2d-e111-87e2-1cc1de0875ed|+Cw1CL4wCmV0EhwDR15JRh0RdKLCjCTgaJRmBrFY6FmlLDmwITYuizTkpNyZFxXhRQ0KlW9EUgf6oXQvMztT3A==|02/05/2014 09:18|Bank of India|London||said that they have far more than they require, very small op with low trading and we need to get in touch with India||London/UK|FSA|
827ff898-5d2d-e111-87e2-1cc1de0875ed|P+p+DZmp+SI2I10DbKgOoaT7wR9YSxV3J00BySoPC1xN7lvCPSs355DAVf8OFd5Ip1923kWUN5SzJoM4YMrCMw==|02/05/2014 09:18|Bank of Ireland (UK) Plc|London||||eCommerce ECN|JL ECN Data|
8e3ec396-b0d7-e011-b80c-18a905730937|BQ8+rDiosxHFd73dG8RWiT/zNy6fkhmundACLQHfTT/OIZF8ervt1Pt5NCuZKYQR3aS0LFt6R3wTJ3lesEu6/Q==|02/05/2014 09:18|Bank of London & the Middle East|London|||||Original EB Data|
927ff898-5d2d-e111-87e2-1cc1de0875ed|hBsHGUxweDgjHoEc1yeIGAWqaWWnZ8OUos4AKF7DSeZ8j/TAwmGzF7tCCbTiHlcMlWOKLwqEeGNnDZ1gcEzOvw==|02/05/2014 09:18|Bank of Philippine Islands|London||Spoke to him, there is no treasury managment desk in London speak to Manilla office.||London/UK|FSA|
907ff898-5d2d-e111-87e2-1cc1de0875ed|oM1zdqwrZRQKNovxs8RtrIqz4M5zFc2povs2/onQcKtQ8/y+fV1TYctJtafUSqoGynfclMpCjcK9jZokzdK1eg==|02/05/2014 09:18|Bank of Taiwan|London||||London/UK|FSA|
947ff898-5d2d-e111-87e2-1cc1de0875ed|8LFb9EsAfYoU2cH0Eicza/0IRV/6IeBErkkyidFzS6zn69/CZJF8HWyJu2CVaBJKgE4xrp1/fza7tQeJqYLbTg==|02/05/2014 09:18|Bank of Tokyo-Mitsubishi UFJ|London||||London/UK|FSA|
9c7ff898-5d2d-e111-87e2-1cc1de0875ed|SeCdh1pv6T3Nd/8WYzMblLWbPlC9xLDg+CjuaP6N4Q7RT7tbS0jXXpJxm52oQa0f2yjhS+g/OvCujaZYzw9iwA==|02/05/2014 09:20|Banque PSA Finance|London||||London/UK|FSA|
9e7ff898-5d2d-e111-87e2-1cc1de0875ed|tNEmiJ0K+/eOWnLAldToka0aZSFASQsofibIi/H6+e7aQO5metnzhMltJegL+V4bp/iyC2vGWIt6NvFTb//nGQ==|02/05/2014 09:20|Banque Transatlantique SA|London||||London/UK|FSA|
a27ff898-5d2d-e111-87e2-1cc1de0875ed|fUkMr7Z+Fh1Pc0F8hOyDitNfJF+a8VdPHNkjqDsM+3InxXshq6ca0F/tgxbGdiutNodaWVdsRwYcmLlOgR/Qwg==|02/05/2014 09:20|Barclays Bank Trust Company|London||||London/UK|FSA|
cd788a7e-8e84-e111-b308-18a905732a1b|CF1o8oYjPDt+kU8oQhq881BU2tNC1Hes2p8P6nyq6SdSgG41kDrPG0kx1SDjm8PvDZR45ivSW2r2pmMlOpik7w==|22/03/2013 13:13|Bayerische Landesbank/ BayernLB|London||||eCommerce ECN|JL ECN Data|
a67ff898-5d2d-e111-87e2-1cc1de0875ed|nPE/ypHvEHpE3I5EMqOGOmZqMet4QmpFlfJRwU7zIvlnXyrtL/aZSQ5vavPHdNUCcsCXhfeluBpP4FXqAekcdg==|02/05/2014 09:21|BIRA Finance Limited|London||||London/UK|FSA|
a87ff898-5d2d-e111-87e2-1cc1de0875ed|jis0GrlmYYy7dhMtW9aujQmIuyiL6G09yDLWSwCgok8X6cTbhFFZeH6MBvwctwNw64y+I+WHmVvt2M1EHOihKg==|02/05/2014 09:21|BLOM Bank France|London||Spoke to des, he said it as all manual, less than 5 traders and they have just had something put in from head office as new technology, he is about 100, wanted me to post him information and knew nothing about the system to tell me what it was..... hard one to work with but will call back in 1 month and see if he knows how his knew system works.||London/UK|FSA|
aa7ff898-5d2d-e111-87e2-1cc1de0875ed|wr4kNZIXIcsM7DQAjps8qhPittMfAl4PBN5MupPr4iRDjUwbKjtJrIL5mF1ukQhrLzZvxdXPFi08oM59MVUKtQ==|02/05/2014 09:21|BMCE Bank International plc|London||numbers are wrong||London/UK|FSA|
e1b5a3ef-5dd5-e011-b80c-18a905730937|UQdHBx3v5aOtl60Ei0cBscWmUpGPI6hhjO24BirL6GN0ypY+BlAuSMSd/XL1jfMT4c8PhIsRUWJUz955BH7LVg==|02/05/2014 09:21|BMO Bank of Montreal|London||"VH Spoke to Lorne Gavsi in Sept 2011, not shopping but will look at Single Dealer Platform when launched. 

Emailed him an update on EVO Nov 2011"||eCommerce ECN|JL ECN Data|
7bca6223-ab0f-e111-b4a1-1cc1de0875ed|WLq+ObwfMXnFtb1QsazJcLbTomIq2gaWYlaGhUnigI6PegjHgPT6cXg/pxxnRJkX7jjKEudkkdlNtwcrDhuyeg==|08/02/2016 13:20|British Arab Commercial Bank|London|||||Original EB Data|
a840c396-b0d7-e011-b80c-18a905730937|T1V+nOW/nY4FSNhHERyu04D2u15Sa7DZM7/golJ2ZGSIRFO9bKlGhusTcUQrFWiPHp6aZQCYZL5PRu7SYnadtQ==|21/05/2014 09:58|British Arab Commercial Bank Plc|London|||||Original EB Data|
b27ff898-5d2d-e111-87e2-1cc1de0875ed|+E1SWea5EpoV8bS2RaK5kajlXLBRY/eKlyuvM1xhvin+2+/XFmF7o6b5ZYPpqYHUwpgx8nydw8nTHR4QlWWSSg==|02/05/2014 09:21|Broadcastle Bank Limited|London||||London/UK|FSA|
160d9a3c-c9f4-e011-b9d4-1cc1de0875ed|w4Pz4VXwB9ZDFYcVHKYweGmxylu8glGjaMn9Ec20RKLP+hdgXfEimYwvv7YtMNdGhI4btneGHaSItuCz4f81bQ==|02/05/2014 09:21|Brown Shipley|London|T24|"Brown Shipley & Co Wealth Management at Brown Shipley: London:Manchester:Leeds Brown Shipley Private Banking: banking,wealth management  | 2001-2002 temenos globus implemented UK (Jersey, London)"||T24/FXCB|Inntron|
d4f726bf-a60e-e111-8fb2-18a905732a1b|KEd/mR5jiH4XSKnsvHfGJRbcvszqb2j6KMfNRFs/izXNI2TLZLtASsIe+pjJ/Oav0V0pMN/maVzVfF+r1gJifQ==|02/05/2014 09:21|Burhill Consultants|London||"Name Simon Tizard 
Country  United Kingdom 
Job title Director 
Job level General manager / Managing director / CEO 
Company Burhill Consultants 
Company type Consultancy (Business & technology)  
Email sjtizard@lineone.net 
Telephone 01932880966 
Involvment in purchases Yes 
Lead score Hot (67.45) 
Uses the guide for Consultant researching for client, Investment research"|||Bobsguide Lead|
ba7ff898-5d2d-e111-87e2-1cc1de0875ed|8+La8O1HkIIi9M5slL0qGekzk1sUPZKOvZJw6Hj+emIHZ1EkGZ+le+m9L0Hr6hff6zteIyRRV0y51kVhK0qRyg==|02/05/2014 09:21|C Hoare & Co|London||||London/UK|FSA|
bc7ff898-5d2d-e111-87e2-1cc1de0875ed|aO+GQYQbfAy/npH5fkl6S1m7f9M7VnomcMkuvd57o1iK+7yUqDQAv3ebcafjPlLH/XjA/AXzhKUm2GZkkjXFAg==|02/05/2014 09:21|CAF Bank Ltd|London||They are a bank for the voluntary sector. The Treasury is being handled by a separate company, Blackrock advisors UK Ltd||London/UK|FSA|
18938322-594e-e111-9821-1cc1de6d3b11|Yy9Nv1lKMBUYsTINfu/+4RF/qAgTF1kUmXq7GBZiFpicQT4jI6JNT+jD7tn0Nf+wr9v/FKU20Y3CcCmNxCPjtg==|15/11/2012 12:33|Canadian Imperial Bank of Commerce|London||VH called for mr WILDEY and he was not there. cb||London/UK|FSA|
947a6417-ac5b-e111-bade-18a905732a1b|CdF2A7+W81WRFuOyxCWbUZ9bxY1mfUsx8cSQpZ8wdYJpPKWPGlgAiG8twN0RbG66vHJr5kgEBs+gl7F9zRDYWg==|08/01/2013 11:39|Canara Bank|London|Flexcube|"Canara Bank has its Coporate Office at Bangalore  - www.canarabank.in |  core banking software, Flexcube, was implemented in February 2006 (ref 3/2009: Oracle and IBM screw-up Canara?) 10.2010 IBM engaged in 8.2005, finally deploys a Core Banking solution across 3,057 locations that touches 45 million customers every day"||T24/FXCB|Inntron|
c47ff898-5d2d-e111-87e2-1cc1de0875ed|wv0KK5vif3n5sYkn8BmOi1z0lmeNxHU8b9Fone7T0SbcM50Mt7HVSgmmBL0tdEIh4AoBFM2AXlIJ0wMDZg/3+A==|02/05/2014 09:21|Carnegie Investment Bank AB|London||KD - I was told by switchboard that they are a small brokerage firm and don't have a treasury department.||London/UK|FSA|
c67ff898-5d2d-e111-87e2-1cc1de0875ed|uC3SDs+M3y2j9eEK6KMtZzQxwo685OsMbbECn/qFFEh5SLNBoq4D+BKqLoqAnlOe7GYKr8R2Vz3/pTei+Zew0Q==|02/05/2014 09:21|Cater Allen Limited|London||||London/UK|FSA|
